return_id,return_date,client_id,material_id,quantity_returned,reason,supplier_id_traced,model_probability,top3,source,supplier_attributed,confidence,model_agrees
RET-0010,2023-11-07,Client-007,MS Flats,1.38,Surface rust,VS12,0.21675245882295277,"[{""supplier_id"": ""VS12"", ""p"": 0.2168}, {""supplier_id"": ""VS19"", ""p"": 0.1974}, {""supplier_id"": ""VS03"", ""p"": 0.1408}]",recorded,VS12,1.0,1.0
RET-0011,2022-11-23,Client-021,MS Sheets,3.84,Surface rust,VS34,0.20825318049843905,"[{""supplier_id"": ""VS12"", ""p"": 0.2083}, {""supplier_id"": ""VS19"", ""p"": 0.1956}, {""supplier_id"": ""VS03"", ""p"": 0.1482}]",recorded,VS34,1.0,0.0
RET-0012,2021-08-21,Client-029,MS Rods,0.2,Edge damage,,0.19772009110370659,"[{""supplier_id"": ""VS03"", ""p"": 0.1977}, {""supplier_id"": ""VS19"", ""p"": 0.1867}, {""supplier_id"": ""VS12"", ""p"": 0.1789}]",inferred,VS03,0.19772009110370659,
RET-0013,2021-11-01,Client-037,Structural Steel,3.25,Weight short,,0.20142143779499985,"[{""supplier_id"": ""VS19"", ""p"": 0.2014}, {""supplier_id"": ""VS03"", ""p"": 0.1977}, {""supplier_id"": ""VS12"", ""p"": 0.1751}]",inferred,VS19,0.20142143779499985,
RET-0014,2021-11-24,Client-067,SS Sheets,2.2,Bend/warp,VS12,0.1969038947884312,"[{""supplier_id"": ""VS12"", ""p"": 0.1969}, {""supplier_id"": ""VS03"", ""p"": 0.1929}, {""supplier_id"": ""VS19"", ""p"": 0.1827}]",recorded,VS12,1.0,1.0
RET-0015,2022-09-01,Client-058,GI Pipes,0.73,Edge damage,VS12,0.2056804920503146,"[{""supplier_id"": ""VS19"", ""p"": 0.2057}, {""supplier_id"": ""VS03"", ""p"": 0.184}, {""supplier_id"": ""VS12"", ""p"": 0.1807}]",recorded,VS12,1.0,0.0
RET-0016,2023-04-16,Client-019,CR Sheets,3.96,Edge damage,VS31,0.22027116328502247,"[{""supplier_id"": ""VS12"", ""p"": 0.2203}, {""supplier_id"": ""VS19"", ""p"": 0.1939}, {""supplier_id"": ""VS03"", ""p"": 0.167}]",recorded,VS31,1.0,0.0
RET-0017,2022-04-08,Client-052,SS Sheets,2.31,Edge damage,VS03,0.1914163701964263,"[{""supplier_id"": ""VS03"", ""p"": 0.1914}, {""supplier_id"": ""VS12"", ""p"": 0.1897}, {""supplier_id"": ""VS19"", ""p"": 0.1805}]",recorded,VS03,1.0,1.0
RET-0018,2021-03-16,Client-071,GI Pipes,1.53,Wrong dimensions,VS29,0.20618034459003923,"[{""supplier_id"": ""VS12"", ""p"": 0.2062}, {""supplier_id"": ""VS19"", ""p"": 0.2061}, {""supplier_id"": ""VS03"", ""p"": 0.0862}]",recorded,VS29,1.0,0.0
RET-0019,2022-01-04,Client-033,HR Coils,0.74,Wrong dimensions,VS19,0.20375160004968063,"[{""supplier_id"": ""VS19"", ""p"": 0.2038}, {""supplier_id"": ""VS12"", ""p"": 0.1818}, {""supplier_id"": ""VS03"", ""p"": 0.1804}]",recorded,VS19,1.0,1.0
RET-0020,2023-06-17,Client-006,Angles & Channels,4.84,Wrong dimensions,,0.21796885863435145,"[{""supplier_id"": ""VS12"", ""p"": 0.218}, {""supplier_id"": ""VS19"", ""p"": 0.1929}, {""supplier_id"": ""VS03"", ""p"": 0.1645}]",inferred,VS12,0.21796885863435145,
RET-0021,2021-06-26,Client-060,MS Pipes,2.86,Grade mismatch,,0.19407034759542197,"[{""supplier_id"": ""VS19"", ""p"": 0.1941}, {""supplier_id"": ""VS12"", ""p"": 0.1853}, {""supplier_id"": ""VS03"", ""p"": 0.1846}]",inferred,VS19,0.19407034759542197,
RET-0022,2022-07-19,Client-048,HR Coils,1.82,Surface rust,VS12,0.2117584021351328,"[{""supplier_id"": ""VS12"", ""p"": 0.2118}, {""supplier_id"": ""VS19"", ""p"": 0.1867}, {""supplier_id"": ""VS03"", ""p"": 0.1833}]",recorded,VS12,1.0,1.0
RET-0023,2022-05-02,Client-035,SS Sheets,0.37,Bend/warp,VS12,0.19378698709064537,"[{""supplier_id"": ""VS12"", ""p"": 0.1938}, {""supplier_id"": ""VS19"", ""p"": 0.1831}, {""supplier_id"": ""VS03"", ""p"": 0.1703}]",recorded,VS12,1.0,1.0
RET-0024,2023-12-19,Client-027,MS Pipes,0.45,Edge damage,,0.21587100299954684,"[{""supplier_id"": ""VS12"", ""p"": 0.2159}, {""supplier_id"": ""VS03"", ""p"": 0.1768}, {""supplier_id"": ""VS19"", ""p"": 0.1762}]",inferred,VS12,0.21587100299954684,
RET-0025,2022-12-05,Client-069,SS Sheets,3.77,Edge damage,VS12,0.21773574853718708,"[{""supplier_id"": ""VS12"", ""p"": 0.2177}, {""supplier_id"": ""VS19"", ""p"": 0.1939}, {""supplier_id"": ""VS03"", ""p"": 0.1801}]",recorded,VS12,1.0,1.0
RET-0026,2022-11-29,Client-015,MS Pipes,0.86,Wrong dimensions,,0.23387914905484017,"[{""supplier_id"": ""VS12"", ""p"": 0.2339}, {""supplier_id"": ""VS19"", ""p"": 0.1972}, {""supplier_id"": ""VS03"", ""p"": 0.1138}]",inferred,VS12,0.23387914905484017,
RET-0027,2021-08-25,Client-019,SS Pipes,0.56,Edge damage,VS12,0.2277393554749756,"[{""supplier_id"": ""VS19"", ""p"": 0.2277}, {""supplier_id"": ""VS03"", ""p"": 0.1599}, {""supplier_id"": ""VS12"", ""p"": 0.1542}]",recorded,VS12,1.0,0.0
RET-0028,2022-11-16,Client-070,CR Sheets,2.58,Wrong dimensions,VS12,0.2369309152330681,"[{""supplier_id"": ""VS12"", ""p"": 0.2369}, {""supplier_id"": ""VS03"", ""p"": 0.1662}, {""supplier_id"": ""VS19"", ""p"": 0.1162}]",recorded,VS12,1.0,1.0
RET-0029,2023-08-22,Client-003,GI Pipes,2.28,Grade mismatch,VS12,0.22102214649827337,"[{""supplier_id"": ""VS12"", ""p"": 0.221}, {""supplier_id"": ""VS03"", ""p"": 0.1784}, {""supplier_id"": ""VS19"", ""p"": 0.1722}]",recorded,VS12,1.0,1.0
RET-0030,2021-03-12,Client-027,MS Rods,1.01,Bend/warp,,0.192461307443657,"[{""supplier_id"": ""VS19"", ""p"": 0.1925}, {""supplier_id"": ""VS12"", ""p"": 0.1805}, {""supplier_id"": ""VS03"", ""p"": 0.1785}]",inferred,VS19,0.192461307443657,
RET-0031,2022-07-07,Client-057,GI Sheets,0.85,Bend/warp,VS12,0.19866857388866002,"[{""supplier_id"": ""VS19"", ""p"": 0.1987}, {""supplier_id"": ""VS12"", ""p"": 0.1876}, {""supplier_id"": ""VS03"", ""p"": 0.1752}]",recorded,VS12,1.0,0.0
RET-0032,2021-05-18,Client-061,CR Sheets,2.62,Edge damage,VS03,0.21262553924028568,"[{""supplier_id"": ""VS03"", ""p"": 0.2126}, {""supplier_id"": ""VS19"", ""p"": 0.1949}, {""supplier_id"": ""VS12"", ""p"": 0.1685}]",recorded,VS03,1.0,1.0
RET-0033,2022-06-09,Client-063,Fasteners & Fittings,2.52,Weight short,,0.2110400942530485,"[{""supplier_id"": ""VS12"", ""p"": 0.211}, {""supplier_id"": ""VS03"", ""p"": 0.1862}, {""supplier_id"": ""VS19"", ""p"": 0.1846}]",inferred,VS12,0.2110400942530485,
RET-0034,2022-02-25,Client-049,GI Wire,2.87,Surface rust,VS13,0.20743067625829106,"[{""supplier_id"": ""VS12"", ""p"": 0.2074}, {""supplier_id"": ""VS19"", ""p"": 0.2058}, {""supplier_id"": ""VS03"", ""p"": 0.1658}]",recorded,VS13,1.0,0.0
RET-0035,2022-10-08,Client-075,Angles & Channels,2.77,Wrong dimensions,VS03,0.21638506934508533,"[{""supplier_id"": ""VS12"", ""p"": 0.2164}, {""supplier_id"": ""VS19"", ""p"": 0.2005}, {""supplier_id"": ""VS03"", ""p"": 0.1719}]",recorded,VS03,1.0,0.0
RET-0036,2023-02-12,Client-067,Fasteners & Fittings,0.91,Wrong dimensions,VS10,0.20683408294757624,"[{""supplier_id"": ""VS12"", ""p"": 0.2068}, {""supplier_id"": ""VS19"", ""p"": 0.2009}, {""supplier_id"": ""VS03"", ""p"": 0.1736}]",recorded,VS10,1.0,0.0
RET-0037,2021-03-08,Client-013,ERW Pipes,1.65,Edge damage,VS12,0.206622962567604,"[{""supplier_id"": ""VS03"", ""p"": 0.2066}, {""supplier_id"": ""VS19"", ""p"": 0.1805}, {""supplier_id"": ""VS12"", ""p"": 0.1622}]",recorded,VS12,1.0,0.0
RET-0038,2022-01-05,Client-069,Structural Steel,4.17,Bend/warp,VS29,0.19855642150897093,"[{""supplier_id"": ""VS19"", ""p"": 0.1986}, {""supplier_id"": ""VS03"", ""p"": 0.1981}, {""supplier_id"": ""VS12"", ""p"": 0.1913}]",recorded,VS29,1.0,0.0
RET-0039,2023-02-09,Client-026,MS Flats,0.45,Edge damage,VS13,0.20281153463653137,"[{""supplier_id"": ""VS12"", ""p"": 0.2028}, {""supplier_id"": ""VS19"", ""p"": 0.1882}, {""supplier_id"": ""VS03"", ""p"": 0.155}]",recorded,VS13,1.0,0.0
RET-0040,2022-05-12,Client-038,SS Pipes,4.1,Weight short,VS14,0.21667875256834054,"[{""supplier_id"": ""VS19"", ""p"": 0.2167}, {""supplier_id"": ""VS03"", ""p"": 0.1601}, {""supplier_id"": ""VS12"", ""p"": 0.1474}]",recorded,VS14,1.0,0.0
RET-0041,2021-06-10,Client-048,GI Wire,1.87,Surface rust,,0.21911646547260316,"[{""supplier_id"": ""VS19"", ""p"": 0.2191}, {""supplier_id"": ""VS03"", ""p"": 0.1792}, {""supplier_id"": ""VS12"", ""p"": 0.1768}]",inferred,VS19,0.21911646547260316,
RET-0042,2021-03-13,Client-063,MS Pipes,2.69,Weight short,VS11,0.21158926168387868,"[{""supplier_id"": ""VS03"", ""p"": 0.2116}, {""supplier_id"": ""VS12"", ""p"": 0.1836}, {""supplier_id"": ""VS19"", ""p"": 0.1384}]",recorded,VS11,1.0,0.0
RET-0043,2023-01-31,Client-007,Hex Bars,3.87,Weight short,,0.21654327915007623,"[{""supplier_id"": ""VS12"", ""p"": 0.2165}, {""supplier_id"": ""VS19"", ""p"": 0.2027}, {""supplier_id"": ""VS03"", ""p"": 0.1444}]",inferred,VS12,0.21654327915007623,
RET-0044,2021-10-14,Client-006,MS Flats,4.39,Bend/warp,,0.2112762923819843,"[{""supplier_id"": ""VS19"", ""p"": 0.2113}, {""supplier_id"": ""VS03"", ""p"": 0.2054}, {""supplier_id"": ""VS12"", ""p"": 0.1538}]",inferred,VS19,0.2112762923819843,
RET-0045,2021-02-05,Client-049,MS Flats,4.93,Wrong dimensions,,0.21987059943895024,"[{""supplier_id"": ""VS03"", ""p"": 0.2199}, {""supplier_id"": ""VS12"", ""p"": 0.1588}, {""supplier_id"": ""VS19"", ""p"": 0.0498}]",inferred,VS03,0.21987059943895024,
RET-0046,2023-09-15,Client-036,MS Sheets,3.41,Bend/warp,VS32,0.19307164527362658,"[{""supplier_id"": ""VS12"", ""p"": 0.1931}, {""supplier_id"": ""VS03"", ""p"": 0.1836}, {""supplier_id"": ""VS19"", ""p"": 0.1815}]",recorded,VS32,1.0,0.0
RET-0047,2022-02-01,Client-040,MS Rods,1.05,Surface rust,VS31,0.2030410531025261,"[{""supplier_id"": ""VS19"", ""p"": 0.203}, {""supplier_id"": ""VS12"", ""p"": 0.1987}, {""supplier_id"": ""VS03"", ""p"": 0.1783}]",recorded,VS31,1.0,0.0
RET-0048,2023-01-13,Client-068,MS Sheets,2.51,Edge damage,,0.2075881196185855,"[{""supplier_id"": ""VS19"", ""p"": 0.2076}, {""supplier_id"": ""VS12"", ""p"": 0.1999}, {""supplier_id"": ""VS03"", ""p"": 0.1535}]",inferred,VS19,0.2075881196185855,
RET-0049,2022-11-27,Client-039,Fasteners & Fittings,4.32,Weight short,,0.20497461674832682,"[{""supplier_id"": ""VS12"", ""p"": 0.205}, {""supplier_id"": ""VS03"", ""p"": 0.1832}, {""supplier_id"": ""VS19"", ""p"": 0.1795}]",inferred,VS12,0.20497461674832682,
RET-0050,2022-08-02,Client-034,ERW Pipes,1.65,Edge damage,VS25,0.17828076779707602,"[{""supplier_id"": ""VS12"", ""p"": 0.1783}, {""supplier_id"": ""VS19"", ""p"": 0.1744}, {""supplier_id"": ""VS03"", ""p"": 0.1662}]",recorded,VS25,1.0,0.0
RET-0051,2023-03-29,Client-070,MS Sheets,1.46,Grade mismatch,VS13,0.2183578760323972,"[{""supplier_id"": ""VS12"", ""p"": 0.2184}, {""supplier_id"": ""VS19"", ""p"": 0.1974}, {""supplier_id"": ""VS03"", ""p"": 0.1601}]",recorded,VS13,1.0,0.0
RET-0052,2021-11-15,Client-009,Structural Steel,4.23,Bend/warp,VS19,0.19981841690619415,"[{""supplier_id"": ""VS19"", ""p"": 0.1998}, {""supplier_id"": ""VS12"", ""p"": 0.1963}, {""supplier_id"": ""VS03"", ""p"": 0.1884}]",recorded,VS19,1.0,1.0
RET-0053,2022-05-14,Client-056,GI Wire,0.39,Edge damage,,0.2123849720925458,"[{""supplier_id"": ""VS19"", ""p"": 0.2124}, {""supplier_id"": ""VS12"", ""p"": 0.1989}, {""supplier_id"": ""VS03"", ""p"": 0.1486}]",inferred,VS19,0.2123849720925458,
RET-0054,2021-12-16,Client-003,Angles & Channels,4.69,Surface rust,VS03,0.2001990901463228,"[{""supplier_id"": ""VS19"", ""p"": 0.2002}, {""supplier_id"": ""VS12"", ""p"": 0.1994}, {""supplier_id"": ""VS03"", ""p"": 0.1938}]",recorded,VS03,1.0,0.0
RET-0055,2023-07-09,Client-061,Fasteners & Fittings,1.84,Surface rust,,0.1983813638518146,"[{""supplier_id"": ""VS19"", ""p"": 0.1984}, {""supplier_id"": ""VS03"", ""p"": 0.1707}, {""supplier_id"": ""VS12"", ""p"": 0.1405}]",inferred,VS19,0.1983813638518146,
RET-0056,2023-03-06,Client-079,GI Wire,2.1,Bend/warp,VS03,0.2218869154249828,"[{""supplier_id"": ""VS12"", ""p"": 0.2219}, {""supplier_id"": ""VS03"", ""p"": 0.1835}, {""supplier_id"": ""VS19"", ""p"": 0.1635}]",recorded,VS03,1.0,0.0
RET-0057,2023-03-12,Client-006,MS Pipes,3.61,Wrong dimensions,,0.2316592424785662,"[{""supplier_id"": ""VS12"", ""p"": 0.2317}, {""supplier_id"": ""VS19"", ""p"": 0.1963}, {""supplier_id"": ""VS03"", ""p"": 0.1107}]",inferred,VS12,0.2316592424785662,
RET-0058,2021-02-03,Client-050,SS Pipes,3.3,Weight short,VS03,0.18990954481939473,"[{""supplier_id"": ""VS03"", ""p"": 0.1899}, {""supplier_id"": ""VS19"", ""p"": 0.1823}, {""supplier_id"": ""VS12"", ""p"": 0.1372}]",recorded,VS03,1.0,1.0
RET-0059,2022-10-15,Client-050,Fasteners & Fittings,1.88,Bend/warp,VS19,0.20378580880525135,"[{""supplier_id"": ""VS12"", ""p"": 0.2038}, {""supplier_id"": ""VS03"", ""p"": 0.1858}, {""supplier_id"": ""VS19"", ""p"": 0.1805}]",recorded,VS19,1.0,0.0
RET-0060,2021-11-12,Client-010,Structural Steel,3.85,Weight short,,0.1988504142617333,"[{""supplier_id"": ""VS19"", ""p"": 0.1989}, {""supplier_id"": ""VS12"", ""p"": 0.1965}, {""supplier_id"": ""VS03"", ""p"": 0.1886}]",inferred,VS19,0.1988504142617333,
RET-0061,2023-12-31,Client-030,MS Flats,1.29,Grade mismatch,VS10,0.20306877685060576,"[{""supplier_id"": ""VS12"", ""p"": 0.2031}, {""supplier_id"": ""VS19"", ""p"": 0.1905}, {""supplier_id"": ""VS03"", ""p"": 0.1721}]",recorded,VS10,1.0,0.0
RET-0062,2023-06-22,Client-062,MS Sheets,3.22,Bend/warp,VS19,0.195892244340294,"[{""supplier_id"": ""VS19"", ""p"": 0.1959}, {""supplier_id"": ""VS12"", ""p"": 0.1938}, {""supplier_id"": ""VS03"", ""p"": 0.1788}]",recorded,VS19,1.0,1.0
RET-0063,2023-03-10,Client-028,MS Flats,4.2,Surface rust,,0.20829070727472718,"[{""supplier_id"": ""VS12"", ""p"": 0.2083}, {""supplier_id"": ""VS19"", ""p"": 0.1924}, {""supplier_id"": ""VS03"", ""p"": 0.1501}]",inferred,VS12,0.20829070727472718,
RET-0064,2022-09-29,Client-062,MS Sheets,3.58,Surface rust,VS01,0.21415685184049071,"[{""supplier_id"": ""VS12"", ""p"": 0.2142}, {""supplier_id"": ""VS19"", ""p"": 0.1536}, {""supplier_id"": ""VS03"", ""p"": 0.1519}]",recorded,VS01,1.0,0.0
RET-0065,2023-06-05,Client-073,Square/Rect Tubes,4.04,Bend/warp,,0.19765013381796864,"[{""supplier_id"": ""VS12"", ""p"": 0.1977}, {""supplier_id"": ""VS19"", ""p"": 0.1952}, {""supplier_id"": ""VS03"", ""p"": 0.1744}]",inferred,VS12,0.19765013381796864,
RET-0066,2021-05-26,Client-055,Structural Steel,2.05,Bend/warp,VS03,0.20263783159697019,"[{""supplier_id"": ""VS03"", ""p"": 0.2026}, {""supplier_id"": ""VS19"", ""p"": 0.2008}, {""supplier_id"": ""VS12"", ""p"": 0.1326}]",recorded,VS03,1.0,1.0
RET-0067,2022-04-27,Client-007,GI Wire,1.73,Surface rust,,0.21073616716822693,"[{""supplier_id"": ""VS19"", ""p"": 0.2107}, {""supplier_id"": ""VS12"", ""p"": 0.1995}, {""supplier_id"": ""VS03"", ""p"": 0.1527}]",inferred,VS19,0.21073616716822693,
RET-0068,2021-10-02,Client-056,Fasteners & Fittings,3.08,Edge damage,,0.2123569448929204,"[{""supplier_id"": ""VS03"", ""p"": 0.2124}, {""supplier_id"": ""VS12"", ""p"": 0.1944}, {""supplier_id"": ""VS19"", ""p"": 0.1837}]",inferred,VS03,0.2123569448929204,
RET-0069,2022-09-06,Client-079,GI Wire,2.0,Surface rust,VS19,0.18835101412249539,"[{""supplier_id"": ""VS19"", ""p"": 0.1884}, {""supplier_id"": ""VS12"", ""p"": 0.1725}, {""supplier_id"": ""VS03"", ""p"": 0.1572}]",recorded,VS19,1.0,1.0
RET-0070,2022-08-09,Client-019,GI Wire,3.06,Grade mismatch,,0.19565123014087907,"[{""supplier_id"": ""VS12"", ""p"": 0.1957}, {""supplier_id"": ""VS19"", ""p"": 0.18}, {""supplier_id"": ""VS03"", ""p"": 0.1648}]",inferred,VS12,0.19565123014087907,
RET-0071,2023-12-17,Client-060,Structural Steel,2.32,Grade mismatch,VS20,0.22465036429552376,"[{""supplier_id"": ""VS12"", ""p"": 0.2247}, {""supplier_id"": ""VS03"", ""p"": 0.1774}, {""supplier_id"": ""VS19"", ""p"": 0.1719}]",recorded,VS20,1.0,0.0
RET-0072,2023-11-30,Client-058,Square/Rect Tubes,1.81,Bend/warp,VS03,0.21834293113332653,"[{""supplier_id"": ""VS12"", ""p"": 0.2183}, {""supplier_id"": ""VS19"", ""p"": 0.1845}, {""supplier_id"": ""VS03"", ""p"": 0.1683}]",recorded,VS03,1.0,0.0
RET-0073,2023-04-13,Client-057,Spring Steel,4.93,Grade mismatch,,0.1926894471584679,"[{""supplier_id"": ""VS19"", ""p"": 0.1927}, {""supplier_id"": ""VS03"", ""p"": 0.188}, {""supplier_id"": ""VS12"", ""p"": 0.1638}]",inferred,VS19,0.1926894471584679,
RET-0074,2022-05-25,Client-072,MS Pipes,3.59,Surface rust,VS03,0.2153777003841985,"[{""supplier_id"": ""VS12"", ""p"": 0.2154}, {""supplier_id"": ""VS19"", ""p"": 0.2054}, {""supplier_id"": ""VS03"", ""p"": 0.1811}]",recorded,VS03,1.0,0.0
RET-0075,2022-07-12,Client-002,Structural Steel,0.67,Wrong dimensions,VS23,0.19462499812361309,"[{""supplier_id"": ""VS12"", ""p"": 0.1946}, {""supplier_id"": ""VS19"", ""p"": 0.1904}, {""supplier_id"": ""VS03"", ""p"": 0.1672}]",recorded,VS23,1.0,0.0
RET-0076,2022-04-18,Client-011,MS Rods,0.42,Weight short,VS03,0.21689067780391105,"[{""supplier_id"": ""VS19"", ""p"": 0.2169}, {""supplier_id"": ""VS03"", ""p"": 0.1755}, {""supplier_id"": ""VS12"", ""p"": 0.1736}]",recorded,VS03,1.0,0.0
RET-0077,2021-06-15,Client-068,CR Sheets,0.99,Weight short,VS03,0.2106312593371236,"[{""supplier_id"": ""VS19"", ""p"": 0.2106}, {""supplier_id"": ""VS03"", ""p"": 0.2036}, {""supplier_id"": ""VS12"", ""p"": 0.1673}]",recorded,VS03,1.0,0.0
RET-0078,2023-05-11,Client-030,SS Sheets,2.3,Bend/warp,VS08,0.20205247274889276,"[{""supplier_id"": ""VS12"", ""p"": 0.2021}, {""supplier_id"": ""VS03"", ""p"": 0.1805}, {""supplier_id"": ""VS19"", ""p"": 0.1761}]",recorded,VS08,1.0,0.0
RET-0079,2021-05-25,Client-027,CR Sheets,3.34,Weight short,VS11,0.20581348733443497,"[{""supplier_id"": ""VS03"", ""p"": 0.2058}, {""supplier_id"": ""VS19"", ""p"": 0.2057}, {""supplier_id"": ""VS12"", ""p"": 0.1673}]",recorded,VS11,1.0,0.0
RET-0080,2023-05-17,Client-010,HR Coils,4.0,Surface rust,VS19,0.21442921198044151,"[{""supplier_id"": ""VS12"", ""p"": 0.2144}, {""supplier_id"": ""VS19"", ""p"": 0.1827}, {""supplier_id"": ""VS03"", ""p"": 0.1778}]",recorded,VS19,1.0,0.0
RET-0081,2021-06-08,Client-009,Angles & Channels,3.57,Bend/warp,VS19,0.2088279544957779,"[{""supplier_id"": ""VS03"", ""p"": 0.2088}, {""supplier_id"": ""VS19"", ""p"": 0.1811}, {""supplier_id"": ""VS12"", ""p"": 0.1769}]",recorded,VS19,1.0,0.0
RET-0082,2021-03-19,Client-076,MS Pipes,0.34,Bend/warp,VS12,0.21598198335466703,"[{""supplier_id"": ""VS03"", ""p"": 0.216}, {""supplier_id"": ""VS12"", ""p"": 0.1756}, {""supplier_id"": ""VS19"", ""p"": 0.1391}]",recorded,VS12,1.0,0.0
RET-0083,2022-08-30,Client-069,CR Sheets,0.42,Surface rust,VS12,0.22066429257656442,"[{""supplier_id"": ""VS12"", ""p"": 0.2207}, {""supplier_id"": ""VS03"", ""p"": 0.1777}, {""supplier_id"": ""VS19"", ""p"": 0.1514}]",recorded,VS12,1.0,1.0
RET-0084,2022-05-02,Client-071,CR Sheets,2.87,Surface rust,VS32,0.2100645146114803,"[{""supplier_id"": ""VS12"", ""p"": 0.2101}, {""supplier_id"": ""VS03"", ""p"": 0.19}, {""supplier_id"": ""VS19"", ""p"": 0.168}]",recorded,VS32,1.0,0.0
RET-0085,2021-06-28,Client-076,MS Sheets,0.37,Grade mismatch,VS19,0.22047976303723765,"[{""supplier_id"": ""VS19"", ""p"": 0.2205}, {""supplier_id"": ""VS03"", ""p"": 0.2123}, {""supplier_id"": ""VS12"", ""p"": 0.1302}]",recorded,VS19,1.0,1.0
RET-0086,2023-06-22,Client-009,GI Pipes,4.47,Weight short,,0.21014261381888238,"[{""supplier_id"": ""VS12"", ""p"": 0.2101}, {""supplier_id"": ""VS19"", ""p"": 0.171}, {""supplier_id"": ""VS03"", ""p"": 0.1638}]",inferred,VS12,0.21014261381888238,
RET-0087,2021-07-15,Client-049,GI Wire,0.57,Bend/warp,VS28,0.2160851096111734,"[{""supplier_id"": ""VS19"", ""p"": 0.2161}, {""supplier_id"": ""VS12"", ""p"": 0.1831}, {""supplier_id"": ""VS03"", ""p"": 0.1782}]",recorded,VS28,1.0,0.0
RET-0088,2021-12-08,Client-052,CR Sheets,4.45,Bend/warp,,0.21580362551103785,"[{""supplier_id"": ""VS12"", ""p"": 0.2158}, {""supplier_id"": ""VS03"", ""p"": 0.1992}, {""supplier_id"": ""VS19"", ""p"": 0.1712}]",inferred,VS12,0.21580362551103785,
RET-0089,2021-04-02,Client-070,MS Flats,0.85,Edge damage,,0.21829884084471973,"[{""supplier_id"": ""VS03"", ""p"": 0.2183}, {""supplier_id"": ""VS12"", ""p"": 0.1421}, {""supplier_id"": ""VS19"", ""p"": 0.1405}]",inferred,VS03,0.21829884084471973,
RET-0090,2023-10-10,Client-061,Structural Steel,0.97,Surface rust,,0.22335497357055836,"[{""supplier_id"": ""VS12"", ""p"": 0.2234}, {""supplier_id"": ""VS19"", ""p"": 0.1879}, {""supplier_id"": ""VS03"", ""p"": 0.1504}]",inferred,VS12,0.22335497357055836,
