po_id,po_date,supplier_id,material_id,quantity_ordered,unit,unit_price_quoted,delivery_promised_date,payment_terms_days
PO-2021-0107,2022-05-06,VS11,SS Sheets,27.99,MT,86418.86,2022-05-10,30
PO-2021-0108,2022-04-06,VS08,Fasteners & Fittings,47.41,MT,93578.23,2022-04-11,21
PO-2021-0109,2023-10-18,VS19,Hex Bars,35.57,MT,79208.25,2023-10-28,30
PO-2021-0110,2023-08-26,VS16,Fasteners & Fittings,28.01,MT,73768.95,2023-09-07,15
PO-2021-0111,2023-11-07,VS09,SS Pipes,14.54,MT,104250.46,2023-11-16,30
PO-2021-0112,2022-11-28,VS33,CR Sheets,41.21,MT,66212.92,2022-12-05,45
PO-2021-0113,2023-09-30,VS10,Fasteners & Fittings,27.39,MT,70884.3,2023-10-11,30
PO-2021-0114,2023-02-12,VS30,MS Flats,43.61,MT,118558.1,2023-02-18,45
PO-2021-0115,2023-02-24,VS15,GI Wire,3.14,MT,100852.89,2023-03-10,45
PO-2021-0116,2023-02-20,VS25,Square/Rect Tubes,25.27,MT,47776.47,2023-03-03,30
PO-2021-0117,2022-11-11,VS07,Fasteners & Fittings,5.89,MT,113283.13,2022-11-14,15
PO-2021-0118,2021-10-23,VS27,Square/Rect Tubes,4.67,MT,103614.4,2021-10-30,21
PO-2021-0119,2022-11-25,VS26,SS Pipes,42.74,MT,108925.6,2022-12-06,21
PO-2021-0120,2023-02-18,VS21,Structural Steel,43.75,MT,47692.43,2023-02-22,15
PO-2021-0121,2022-04-26,VS19,HR Coils,37.59,MT,80649.77,2022-04-30,30
PO-2021-0122,2021-07-25,VS29,MS Sheets,35.01,MT,112756.8,2021-07-28,30
PO-2021-0123,2022-10-27,VS04,SS Sheets,18.56,MT,77301.51,2022-11-02,21
PO-2021-0124,2023-12-24,VS27,MS Sheets,9.33,MT,50922.63,2024-01-02,21
PO-2021-0125,2022-05-09,VS32,Square/Rect Tubes,12.38,MT,92842.85,2022-05-19,45
PO-2021-0126,2022-06-07,VS01,Fasteners & Fittings,45.16,MT,95820.82,2022-06-12,15
PO-2021-0127,2021-06-01,VS29,Angles & Channels,49.39,MT,67436.57,2021-06-10,30
PO-2021-0128,2022-05-28,VS30,SS Sheets,10.76,MT,73851.99,2022-06-07,45
PO-2021-0129,2021-08-07,VS16,MS Rods,29.02,MT,88110.89,2021-08-21,15
PO-2021-0130,2022-08-28,VS02,MS Rods,14.45,MT,87444.68,2022-09-10,21
PO-2021-0131,2021-04-11,VS32,SS Sheets,39.01,MT,62258.88,2021-04-26,45
PO-2021-0132,2022-12-23,VS15,GI Sheets,31.42,MT,95832.33,2023-01-06,45
PO-2021-0133,2021-10-08,VS07,GI Pipes,16.14,MT,78061.74,2021-10-20,15
PO-2021-0134,2023-01-18,VS09,SS Pipes,45.57,MT,69503.93,2023-01-27,30
PO-2021-0135,2021-12-26,VS13,Square/Rect Tubes,39.54,MT,110734.54,2022-01-03,30
PO-2021-0136,2023-12-24,VS33,CR Sheets,41.69,MT,64272.76,2024-01-03,45
PO-2021-0137,2022-08-28,VS22,ERW Pipes,23.95,MT,50647.45,2022-09-12,21
PO-2021-0138,2022-04-08,VS26,Spring Steel,18.92,MT,104301.15,2022-04-11,21
PO-2021-0139,2022-06-26,VS08,Fasteners & Fittings,19.06,MT,101175.87,2022-07-03,21
PO-2021-0140,2023-02-20,VS24,ERW Pipes,34.07,MT,80360.77,2023-03-04,45
PO-2021-0141,2022-11-03,VS15,SS Pipes,32.13,MT,79820.07,2022-11-17,45
PO-2021-0142,2022-09-11,VS27,ERW Pipes,7.85,MT,115969.61,2022-09-18,21
PO-2021-0143,2023-10-06,VS08,ERW Pipes,12.51,MT,85316.0,2023-10-15,21
PO-2021-0144,2023-07-19,VS24,Spring Steel,21.54,MT,100670.18,2023-07-24,45
PO-2021-0145,2023-04-30,VS07,Structural Steel,31.17,MT,115428.98,2023-05-07,15
PO-2021-0146,2021-03-09,VS24,GI Sheets,22.73,MT,116291.64,2021-03-17,45
PO-2021-0147,2021-07-23,VS24,Spring Steel,45.18,MT,93362.01,2021-07-26,45
PO-2021-0148,2023-03-27,VS18,GI Sheets,48.44,MT,116175.81,2023-04-06,30
PO-2021-0149,2021-07-07,VS14,MS Pipes,3.48,MT,70013.19,2021-07-12,30
PO-2021-0150,2022-02-25,VS05,Spring Steel,11.15,MT,61196.35,2022-03-03,15
PO-2021-0151,2022-11-04,VS10,MS Pipes,14.59,MT,118802.11,2022-11-09,30
PO-2021-0152,2022-05-29,VS12,ERW Pipes,33.39,MT,48810.85,2022-06-01,15
PO-2021-0153,2023-01-04,VS16,MS Flats,1.77,MT,64902.56,2023-01-09,15
PO-2021-0154,2023-05-13,VS34,ERW Pipes,37.54,MT,80718.45,2023-05-28,21
PO-2021-0155,2023-01-12,VS33,ERW Pipes,23.15,MT,61616.23,2023-01-24,45
PO-2021-0156,2021-03-30,VS34,SS Sheets,23.44,MT,117301.96,2021-04-02,21
PO-2021-0157,2023-09-08,VS26,GI Wire,34.62,MT,81770.16,2023-09-18,21
PO-2021-0158,2021-05-31,VS06,MS Flats,30.81,MT,49926.17,2021-06-07,30
PO-2021-0159,2022-10-28,VS25,Hex Bars,15.45,MT,82916.33,2022-11-06,30
PO-2021-0160,2021-07-23,VS08,Spring Steel,36.32,MT,61126.73,2021-08-02,21
PO-2021-0161,2022-04-13,VS27,MS Flats,41.54,MT,74904.76,2022-04-27,21
PO-2021-0162,2021-07-14,VS21,GI Wire,16.31,MT,64116.73,2021-07-19,15
PO-2021-0163,2023-08-30,VS05,SS Pipes,41.76,MT,51992.26,2023-09-03,15
PO-2021-0164,2023-02-03,VS09,Spring Steel,3.94,MT,116746.85,2023-02-14,30
PO-2021-0165,2022-11-07,VS08,GI Wire,18.33,MT,94900.54,2022-11-22,21
PO-2021-0166,2023-05-17,VS04,SS Sheets,30.42,MT,71373.46,2023-05-29,21
PO-2021-0167,2023-11-06,VS14,Square/Rect Tubes,33.18,MT,61818.37,2023-11-10,30
PO-2021-0168,2022-12-19,VS24,ERW Pipes,38.37,MT,88057.5,2023-01-03,45
PO-2021-0169,2023-05-29,VS02,CR Sheets,2.42,MT,65495.28,2023-06-13,21
PO-2021-0170,2022-09-25,VS22,Angles & Channels,1.3,MT,110239.7,2022-10-07,21
PO-2021-0171,2023-04-01,VS05,Square/Rect Tubes,37.31,MT,117885.77,2023-04-05,15
PO-2021-0172,2023-12-23,VS14,MS Rods,21.57,MT,70567.2,2023-12-31,30
PO-2021-0173,2022-10-01,VS21,SS Pipes,44.28,MT,56668.49,2022-10-16,15
PO-2021-0174,2021-04-12,VS06,CR Sheets,22.71,MT,76801.11,2021-04-24,30
PO-2021-0175,2023-06-25,VS27,CR Sheets,11.56,MT,83425.97,2023-07-03,21
PO-2021-0176,2023-05-31,VS08,SS Sheets,34.23,MT,89485.07,2023-06-11,21
PO-2021-0177,2022-09-24,VS03,HR Coils,20.37,MT,93547.35,2022-09-27,21
PO-2021-0178,2022-02-23,VS20,GI Sheets,38.6,MT,102312.07,2022-03-02,21
PO-2021-0179,2022-11-03,VS08,MS Pipes,25.37,MT,77299.13,2022-11-08,21
PO-2021-0180,2023-02-18,VS15,Hex Bars,28.38,MT,95103.61,2023-02-26,45
PO-2021-0181,2021-05-28,VS26,GI Pipes,22.37,MT,79481.57,2021-06-01,21
PO-2021-0182,2022-10-04,VS28,MS Rods,35.77,MT,76327.05,2022-10-08,15
PO-2021-0183,2023-04-10,VS02,MS Flats,9.42,MT,116071.07,2023-04-20,21
PO-2021-0184,2023-01-12,VS06,GI Wire,42.38,MT,63248.74,2023-01-24,30
PO-2021-0185,2023-04-01,VS34,SS Pipes,20.39,MT,68270.59,2023-04-09,21
PO-2021-0186,2022-03-30,VS22,MS Sheets,4.74,MT,92491.85,2022-04-10,21
PO-2021-0187,2023-11-11,VS13,Angles & Channels,18.2,MT,116866.75,2023-11-24,30
PO-2021-0188,2021-10-30,VS16,ERW Pipes,8.18,MT,59795.39,2021-11-11,15
PO-2021-0189,2021-11-10,VS05,MS Sheets,47.61,MT,92096.16,2021-11-20,15
PO-2021-0190,2023-07-09,VS21,MS Flats,8.4,MT,50121.47,2023-07-19,15
PO-2021-0191,2022-09-13,VS18,GI Pipes,18.25,MT,50564.3,2022-09-23,30
PO-2021-0192,2023-07-15,VS03,GI Pipes,19.07,MT,69192.01,2023-07-28,21
PO-2021-0193,2021-07-04,VS33,MS Rods,23.67,MT,86573.73,2021-07-19,45
PO-2021-0194,2021-03-26,VS29,GI Sheets,16.75,MT,80672.18,2021-03-31,30
PO-2021-0195,2021-05-07,VS29,ERW Pipes,40.74,MT,107803.29,2021-05-21,30
PO-2021-0196,2021-06-22,VS33,MS Sheets,2.92,MT,98071.63,2021-07-02,45
PO-2021-0197,2023-12-10,VS34,MS Sheets,18.83,MT,113845.26,2023-12-19,21
PO-2021-0198,2023-04-18,VS22,GI Pipes,39.67,MT,93547.9,2023-04-22,21
PO-2021-0199,2022-11-07,VS07,Spring Steel,34.24,MT,66311.02,2022-11-21,15
PO-2021-0200,2021-11-04,VS22,SS Pipes,29.55,MT,55607.13,2021-11-12,21
PO-2021-0201,2022-09-28,VS26,Square/Rect Tubes,30.16,MT,115350.16,2022-10-05,21
PO-2021-0202,2023-02-11,VS22,Square/Rect Tubes,33.84,MT,107171.92,2023-02-25,21
PO-2021-0203,2023-12-15,VS06,GI Wire,25.92,MT,46367.29,2023-12-22,30
PO-2021-0204,2022-01-05,VS14,MS Flats,47.44,MT,81470.32,2022-01-11,30
PO-2021-0205,2021-10-09,VS10,SS Pipes,15.49,MT,104109.01,2021-10-20,30
PO-2021-0206,2023-12-15,VS03,MS Flats,43.94,MT,95006.45,2023-12-27,21
PO-2021-0207,2023-02-11,VS10,MS Sheets,9.86,MT,96963.42,2023-02-23,30
PO-2021-0208,2021-12-06,VS29,GI Pipes,21.13,MT,95727.22,2021-12-12,30
PO-2021-0209,2023-06-29,VS19,Fasteners & Fittings,12.47,MT,65455.14,2023-07-14,30
PO-2021-0210,2023-08-19,VS13,Angles & Channels,34.24,MT,87781.45,2023-08-29,30
PO-2021-0211,2023-08-04,VS19,MS Rods,25.64,MT,79455.54,2023-08-09,30
PO-2021-0212,2022-02-13,VS09,CR Sheets,3.56,MT,81044.3,2022-02-21,30
PO-2021-0213,2021-07-30,VS34,ERW Pipes,14.97,MT,102233.76,2021-08-06,21
PO-2021-0214,2023-07-10,VS33,Square/Rect Tubes,41.72,MT,51878.52,2023-07-16,45
PO-2021-0215,2023-07-13,VS23,MS Pipes,21.33,MT,74734.05,2023-07-21,45
PO-2021-0216,2022-04-28,VS25,SS Pipes,19.37,MT,47114.07,2022-05-02,30
PO-2021-0217,2022-11-18,VS10,Square/Rect Tubes,2.88,MT,113804.71,2022-11-28,30
PO-2021-0218,2021-10-12,VS31,Fasteners & Fittings,31.15,MT,112939.31,2021-10-15,45
PO-2021-0219,2022-06-09,VS14,Square/Rect Tubes,27.89,MT,99542.61,2022-06-20,30
PO-2021-0220,2023-05-17,VS08,SS Sheets,12.64,MT,54138.63,2023-05-23,21
PO-2021-0221,2023-05-10,VS30,SS Pipes,6.43,MT,112886.02,2023-05-22,45
PO-2021-0222,2021-02-03,VS33,HR Coils,36.21,MT,66845.4,2021-02-06,45
PO-2021-0223,2022-12-24,VS16,GI Wire,10.18,MT,95116.12,2023-01-04,15
PO-2021-0224,2023-01-09,VS05,Hex Bars,27.66,MT,103980.93,2023-01-20,15
PO-2021-0225,2021-02-11,VS25,Structural Steel,3.13,MT,74016.1,2021-02-19,30
PO-2021-0226,2022-06-04,VS02,Angles & Channels,39.64,MT,70860.19,2022-06-18,21
PO-2021-0227,2021-08-01,VS22,Square/Rect Tubes,3.17,MT,85951.03,2021-08-14,21
PO-2021-0228,2021-12-25,VS30,Structural Steel,31.96,MT,105862.33,2021-12-29,45
PO-2021-0229,2023-07-27,VS03,SS Sheets,10.88,MT,108506.52,2023-07-30,21
PO-2021-0230,2022-10-09,VS20,Hex Bars,20.51,MT,106155.46,2022-10-19,21
PO-2021-0231,2022-06-03,VS03,GI Sheets,15.02,MT,114046.81,2022-06-06,21
PO-2021-0232,2022-11-11,VS18,ERW Pipes,40.17,MT,77771.35,2022-11-20,30
PO-2021-0233,2023-06-20,VS25,MS Flats,48.71,MT,82215.24,2023-06-30,30
PO-2021-0234,2023-01-23,VS34,CR Sheets,40.26,MT,99531.1,2023-01-27,21
PO-2021-0235,2023-06-01,VS12,Spring Steel,15.39,MT,54802.64,2023-06-09,15
PO-2021-0236,2022-08-29,VS20,Fasteners & Fittings,30.53,MT,76958.71,2022-09-12,21
PO-2021-0237,2023-06-29,VS23,Fasteners & Fittings,3.08,MT,110252.79,2023-07-07,45
PO-2021-0238,2023-06-10,VS18,GI Pipes,4.68,MT,92813.44,2023-06-18,30
PO-2021-0239,2023-11-17,VS11,MS Pipes,8.0,MT,90567.97,2023-12-02,30
PO-2021-0240,2023-06-17,VS03,Square/Rect Tubes,4.29,MT,107524.2,2023-06-25,21
PO-2021-0241,2023-01-12,VS25,GI Pipes,30.65,MT,95929.65,2023-01-20,30
PO-2021-0242,2023-02-01,VS29,SS Pipes,29.12,MT,84709.49,2023-02-10,30
PO-2021-0243,2022-10-06,VS18,HR Coils,48.07,MT,46943.5,2022-10-11,30
PO-2021-0244,2023-10-20,VS34,MS Rods,45.76,MT,53832.07,2023-11-04,21
PO-2021-0245,2022-06-18,VS29,GI Sheets,49.82,MT,66418.27,2022-06-28,30
PO-2021-0246,2022-02-14,VS08,Square/Rect Tubes,42.79,MT,78903.2,2022-02-28,21
PO-2021-0247,2023-07-01,VS06,MS Flats,33.72,MT,98215.54,2023-07-12,30
PO-2021-0248,2022-08-18,VS20,MS Sheets,35.88,MT,114549.33,2022-08-31,21
PO-2021-0249,2021-12-23,VS24,Hex Bars,11.99,MT,118884.94,2022-01-07,45
PO-2021-0250,2021-10-12,VS16,Structural Steel,2.29,MT,86551.61,2021-10-20,15
PO-2021-0251,2023-08-16,VS09,SS Pipes,4.22,MT,74862.0,2023-08-30,30
PO-2021-0252,2023-09-08,VS34,GI Wire,38.69,MT,106750.45,2023-09-12,21
PO-2021-0253,2021-09-14,VS21,SS Pipes,23.05,MT,96008.17,2021-09-22,15
PO-2021-0254,2021-09-20,VS12,Square/Rect Tubes,22.2,MT,117835.56,2021-09-23,15
PO-2021-0255,2021-09-12,VS34,Square/Rect Tubes,15.9,MT,57147.52,2021-09-26,21
PO-2021-0256,2022-04-07,VS23,Hex Bars,44.85,MT,108445.03,2022-04-14,45
PO-2021-0257,2022-02-07,VS18,Square/Rect Tubes,31.63,MT,91082.12,2022-02-11,30
PO-2021-0258,2023-10-27,VS11,Square/Rect Tubes,9.39,MT,91835.94,2023-11-08,30
PO-2021-0259,2022-11-23,VS03,MS Pipes,4.98,MT,120786.65,2022-12-08,21
PO-2021-0260,2022-06-27,VS14,GI Wire,31.29,MT,47271.44,2022-07-10,30
PO-2021-0261,2022-08-17,VS20,Structural Steel,13.0,MT,105551.2,2022-08-26,21
PO-2021-0262,2022-09-02,VS30,SS Pipes,34.74,MT,56856.03,2022-09-11,45
PO-2021-0263,2023-09-19,VS30,GI Sheets,17.67,MT,55775.15,2023-10-03,45
PO-2021-0264,2022-10-16,VS23,MS Rods,7.41,MT,72790.51,2022-10-27,45
PO-2021-0265,2021-08-06,VS21,HR Coils,23.86,MT,65060.38,2021-08-12,15
PO-2021-0266,2021-10-16,VS07,GI Pipes,15.22,MT,73811.24,2021-10-28,15
PO-2021-0267,2023-05-07,VS16,MS Sheets,40.86,MT,115031.37,2023-05-21,15
PO-2021-0268,2022-10-03,VS13,MS Sheets,25.42,MT,83604.36,2022-10-13,30
PO-2021-0269,2022-09-24,VS32,MS Pipes,5.41,MT,74493.16,2022-10-04,45
PO-2021-0270,2022-05-09,VS14,Angles & Channels,3.38,MT,66101.73,2022-05-21,30
PO-2021-0271,2023-08-22,VS19,Spring Steel,1.4,MT,55184.77,2023-08-27,30
PO-2021-0272,2022-06-26,VS24,MS Rods,18.93,MT,75043.62,2022-07-08,45
PO-2021-0273,2022-02-03,VS24,Spring Steel,15.14,MT,73976.16,2022-02-13,45
PO-2021-0274,2022-07-27,VS08,Square/Rect Tubes,48.78,MT,74542.78,2022-08-11,21
PO-2021-0275,2022-11-26,VS24,Square/Rect Tubes,10.75,MT,83184.19,2022-12-07,45
PO-2021-0276,2021-03-24,VS03,GI Pipes,7.71,MT,72777.18,2021-04-03,21
PO-2021-0277,2023-11-30,VS30,Square/Rect Tubes,30.71,MT,83662.93,2023-12-08,45
PO-2021-0278,2022-10-15,VS11,MS Rods,49.54,MT,100448.95,2022-10-22,30
PO-2021-0279,2022-11-20,VS33,Hex Bars,27.08,MT,98155.49,2022-11-27,45
PO-2021-0280,2023-08-31,VS02,Angles & Channels,17.23,MT,53220.34,2023-09-09,21
PO-2021-0281,2022-09-23,VS02,Structural Steel,14.01,MT,94169.32,2022-10-08,21
PO-2021-0282,2022-04-12,VS04,Structural Steel,9.36,MT,92176.89,2022-04-24,21
PO-2021-0283,2023-02-18,VS10,HR Coils,2.55,MT,116115.39,2023-02-22,30
PO-2021-0284,2022-01-26,VS02,Fasteners & Fittings,16.37,MT,56357.34,2022-02-09,21
PO-2021-0285,2022-02-22,VS27,Hex Bars,38.97,MT,114039.07,2022-03-08,21
