po_id,supplier_id,invoice_date,agreed_payment_days,actual_payment_date,days_late
PO-2021-0110,VS16,2023-08-29,15,2023-09-14,4
PO-2021-0111,VS09,2023-11-10,30,2023-12-09,2
PO-2021-0112,VS33,2022-12-01,45,2023-02-06,25
PO-2021-0113,VS10,2023-10-03,30,2023-10-30,0
PO-2021-0114,VS30,2023-02-15,45,2023-03-30,1
PO-2021-0115,VS15,2023-02-27,45,2023-04-09,0
PO-2021-0116,VS25,2023-02-23,30,2023-04-05,14
PO-2021-0117,VS07,2022-11-14,15,2022-11-26,0
PO-2021-0118,VS27,2021-10-26,21,2021-12-05,22
PO-2021-0119,VS26,2022-11-28,21,2022-12-12,0
PO-2021-0120,VS21,2023-02-21,15,2023-03-05,0
PO-2021-0121,VS19,2022-04-29,30,2022-06-03,8
PO-2021-0122,VS29,2021-07-28,30,2021-08-24,0
PO-2021-0123,VS04,2022-10-30,21,2022-11-21,4
PO-2021-0124,VS27,2023-12-27,21,2024-01-30,16
PO-2021-0125,VS32,2022-05-12,45,2022-06-23,0
PO-2021-0126,VS01,2022-06-10,15,2022-06-22,0
PO-2021-0127,VS29,2021-06-04,30,2021-07-01,0
PO-2021-0128,VS30,2022-05-31,45,2022-07-08,0
PO-2021-0129,VS16,2021-08-10,15,2021-08-22,0
PO-2021-0130,VS02,2022-08-31,21,2022-09-18,0
PO-2021-0131,VS32,2021-04-14,45,2021-06-17,22
PO-2021-0132,VS15,2022-12-26,45,2023-03-01,23
PO-2021-0133,VS07,2021-10-11,15,2021-10-25,2
PO-2021-0134,VS09,2023-01-21,30,2023-02-17,0
PO-2021-0135,VS13,2021-12-29,30,2022-02-02,8
PO-2021-0136,VS33,2023-12-27,45,2024-02-26,19
PO-2021-0137,VS22,2022-08-31,21,2022-09-18,0
PO-2021-0138,VS26,2022-04-11,21,2022-05-21,22
PO-2021-0139,VS08,2022-06-29,21,2022-07-23,6
PO-2021-0140,VS24,2023-02-23,45,2023-04-12,6
PO-2021-0141,VS15,2022-11-06,45,2022-12-24,6
PO-2021-0142,VS27,2022-09-14,21,2022-10-02,0
PO-2021-0143,VS08,2023-10-09,21,2023-11-08,12
PO-2021-0144,VS24,2023-07-22,45,2023-09-09,7
PO-2021-0145,VS07,2023-05-03,15,2023-05-21,6
PO-2021-0146,VS24,2021-03-12,45,2021-04-23,0
PO-2021-0147,VS24,2021-07-26,45,2021-09-25,19
PO-2021-0148,VS18,2023-03-30,30,2023-05-21,25
PO-2021-0149,VS14,2021-07-10,30,2021-08-17,11
PO-2021-0150,VS05,2022-02-28,15,2022-03-12,0
PO-2021-0151,VS10,2022-11-07,30,2022-12-26,22
PO-2021-0152,VS12,2022-06-01,15,2022-06-23,10
PO-2021-0153,VS16,2023-01-07,15,2023-01-19,0
PO-2021-0154,VS34,2023-05-16,21,2023-06-03,0
PO-2021-0155,VS33,2023-01-15,45,2023-02-26,0
PO-2021-0156,VS34,2021-04-02,21,2021-04-23,3
PO-2021-0157,VS26,2023-09-11,21,2023-10-02,3
PO-2021-0158,VS06,2021-06-03,30,2021-07-02,2
PO-2021-0159,VS25,2022-10-31,30,2022-11-27,0
PO-2021-0160,VS08,2021-07-26,21,2021-08-24,11
PO-2021-0161,VS27,2022-04-16,21,2022-05-17,13
PO-2021-0162,VS21,2021-07-17,15,2021-07-29,0
PO-2021-0163,VS05,2023-09-02,15,2023-09-25,11
PO-2021-0164,VS09,2023-02-06,30,2023-03-05,0
PO-2021-0165,VS08,2022-11-10,21,2022-12-02,4
PO-2021-0166,VS04,2023-05-20,21,2023-06-24,17
PO-2021-0167,VS14,2023-11-09,30,2023-12-12,6
PO-2021-0168,VS24,2022-12-22,45,2023-02-02,0
PO-2021-0169,VS02,2023-06-01,21,2023-06-26,7
PO-2021-0170,VS22,2022-09-28,21,2022-10-16,0
PO-2021-0171,VS05,2023-04-04,15,2023-04-16,0
PO-2021-0172,VS14,2023-12-26,30,2024-01-22,0
PO-2021-0173,VS21,2022-10-04,15,2022-10-21,5
PO-2021-0174,VS06,2021-04-15,30,2021-06-03,22
PO-2021-0175,VS27,2023-06-28,21,2023-07-16,0
PO-2021-0176,VS08,2023-06-03,21,2023-06-21,0
PO-2021-0177,VS03,2022-09-27,21,2022-10-13,0
PO-2021-0178,VS20,2022-02-26,21,2022-03-16,0
PO-2021-0179,VS08,2022-11-06,21,2022-12-16,22
PO-2021-0180,VS15,2023-02-21,45,2023-04-19,15
PO-2021-0181,VS26,2021-05-31,21,2021-06-23,5
PO-2021-0182,VS28,2022-10-07,15,2022-10-19,0
PO-2021-0183,VS02,2023-04-13,21,2023-05-01,0
PO-2021-0184,VS06,2023-01-15,30,2023-02-09,0
PO-2021-0185,VS34,2023-04-04,21,2023-04-24,2
PO-2021-0186,VS22,2022-04-02,21,2022-05-05,15
PO-2021-0187,VS13,2023-11-14,30,2023-12-11,0
PO-2021-0188,VS16,2021-11-02,15,2021-11-14,0
PO-2021-0189,VS05,2021-11-13,15,2021-12-04,9
PO-2021-0190,VS21,2023-07-12,15,2023-08-16,23
PO-2021-0191,VS18,2022-09-16,30,2022-10-10,0
PO-2021-0192,VS03,2023-07-18,21,2023-08-05,0
PO-2021-0193,VS33,2021-07-07,45,2021-08-18,0
PO-2021-0194,VS29,2021-03-29,30,2021-04-25,0
PO-2021-0195,VS29,2021-05-10,30,2021-06-15,9
PO-2021-0196,VS33,2021-06-25,45,2021-08-15,9
PO-2021-0197,VS34,2023-12-13,21,2023-12-31,0
PO-2021-0198,VS22,2023-04-21,21,2023-05-16,7
PO-2021-0199,VS07,2022-11-10,15,2022-11-22,0
PO-2021-0200,VS22,2021-11-07,21,2021-11-25,0
PO-2021-0201,VS26,2022-10-01,21,2022-10-14,0
PO-2021-0202,VS22,2023-02-14,21,2023-03-15,11
PO-2021-0203,VS06,2023-12-18,30,2024-01-13,0
PO-2021-0204,VS14,2022-01-08,30,2022-02-07,3
PO-2021-0205,VS10,2021-10-12,30,2021-11-08,0
PO-2021-0206,VS03,2023-12-18,21,2024-01-24,19
PO-2021-0207,VS10,2023-02-14,30,2023-03-13,0
PO-2021-0208,VS29,2021-12-09,30,2022-01-05,0
PO-2021-0209,VS19,2023-07-02,30,2023-08-13,15
PO-2021-0210,VS13,2023-08-22,30,2023-09-28,10
PO-2021-0211,VS19,2023-08-07,30,2023-09-28,25
PO-2021-0212,VS09,2022-02-16,30,2022-03-28,13
PO-2021-0213,VS34,2021-08-02,21,2021-08-20,0
PO-2021-0214,VS33,2023-07-13,45,2023-08-21,0
PO-2021-0215,VS23,2023-07-16,45,2023-09-14,18
PO-2021-0216,VS25,2022-05-01,30,2022-05-28,0
PO-2021-0217,VS10,2022-11-21,30,2023-01-03,16
PO-2021-0218,VS31,2021-10-15,45,2021-12-05,9
PO-2021-0219,VS14,2022-06-12,30,2022-08-03,25
PO-2021-0220,VS08,2023-05-20,21,2023-06-18,11
PO-2021-0221,VS30,2023-05-13,45,2023-07-06,12
PO-2021-0222,VS33,2021-02-06,45,2021-03-20,0
PO-2021-0223,VS16,2022-12-27,15,2023-01-08,0
PO-2021-0224,VS05,2023-01-12,15,2023-02-08,15
PO-2021-0225,VS25,2021-02-14,30,2021-03-31,18
PO-2021-0226,VS02,2022-06-07,21,2022-06-25,0
PO-2021-0227,VS22,2021-08-04,21,2021-09-12,21
PO-2021-0228,VS30,2021-12-28,45,2022-02-04,0
PO-2021-0229,VS03,2023-07-30,21,2023-08-12,0
PO-2021-0230,VS20,2022-10-12,21,2022-10-31,1
PO-2021-0231,VS03,2022-06-06,21,2022-06-23,0
PO-2021-0232,VS18,2022-11-14,30,2022-12-06,0
PO-2021-0233,VS25,2023-06-23,30,2023-08-06,17
PO-2021-0234,VS34,2023-01-26,21,2023-02-17,4
PO-2021-0235,VS12,2023-06-04,15,2023-06-16,0
PO-2021-0236,VS20,2022-09-01,21,2022-10-09,20
PO-2021-0237,VS23,2023-07-02,45,2023-09-06,24
PO-2021-0238,VS18,2023-06-13,30,2023-07-15,5
PO-2021-0239,VS11,2023-11-20,30,2023-12-29,12
PO-2021-0240,VS03,2023-06-20,21,2023-08-02,25
PO-2021-0241,VS25,2023-01-15,30,2023-02-24,13
PO-2021-0242,VS29,2023-02-04,30,2023-03-16,13
PO-2021-0243,VS18,2022-10-09,30,2022-11-03,0
PO-2021-0244,VS34,2023-10-23,21,2023-11-18,8
PO-2021-0245,VS29,2022-06-21,30,2022-07-20,2
PO-2021-0246,VS08,2022-02-17,21,2022-03-07,0
PO-2021-0247,VS06,2023-07-04,30,2023-08-09,9
PO-2021-0248,VS20,2022-08-21,21,2022-09-06,0
PO-2021-0249,VS24,2021-12-26,45,2022-02-23,17
PO-2021-0250,VS16,2021-10-15,15,2021-11-02,6
PO-2021-0251,VS09,2023-08-19,30,2023-09-19,4
PO-2021-0252,VS34,2023-09-11,21,2023-09-29,0
PO-2021-0253,VS21,2021-09-17,15,2021-10-18,19
PO-2021-0254,VS12,2021-09-23,15,2021-10-08,3
PO-2021-0255,VS34,2021-09-15,21,2021-10-20,17
PO-2021-0256,VS23,2022-04-10,45,2022-05-22,0
PO-2021-0257,VS18,2022-02-10,30,2022-03-09,0
PO-2021-0258,VS11,2023-10-30,30,2023-12-07,11
PO-2021-0259,VS03,2022-11-26,21,2022-12-14,0
PO-2021-0260,VS14,2022-06-30,30,2022-07-31,4
PO-2021-0261,VS20,2022-08-20,21,2022-09-28,21
PO-2021-0262,VS30,2022-09-05,45,2022-11-10,24
PO-2021-0263,VS30,2023-09-22,45,2023-11-03,0
PO-2021-0264,VS23,2022-10-19,45,2022-11-30,0
PO-2021-0265,VS21,2021-08-09,15,2021-08-30,9
PO-2021-0266,VS07,2021-10-19,15,2021-10-31,0
PO-2021-0267,VS16,2023-05-10,15,2023-05-22,0
PO-2021-0268,VS13,2022-10-06,30,2022-11-02,0
PO-2021-0269,VS32,2022-09-27,45,2022-11-22,14
PO-2021-0270,VS14,2022-05-12,30,2022-06-08,0
PO-2021-0271,VS19,2023-08-25,30,2023-09-22,1
PO-2021-0272,VS24,2022-06-29,45,2022-08-10,0
PO-2021-0273,VS24,2022-02-06,45,2022-03-19,0
PO-2021-0274,VS08,2022-07-30,21,2022-08-17,0
PO-2021-0275,VS24,2022-11-29,45,2023-01-25,15
PO-2021-0276,VS03,2021-03-27,21,2021-04-10,0
PO-2021-0277,VS30,2023-12-03,45,2024-01-14,0
PO-2021-0278,VS11,2022-10-18,30,2022-11-10,0
PO-2021-0279,VS33,2022-11-23,45,2022-12-30,0
PO-2021-0280,VS02,2023-09-03,21,2023-10-13,22
PO-2021-0281,VS02,2022-09-26,21,2022-10-16,2
PO-2021-0282,VS04,2022-04-15,21,2022-05-06,3
PO-2021-0283,VS10,2023-02-21,30,2023-03-20,0
PO-2021-0284,VS02,2022-01-29,21,2022-02-16,0
PO-2021-0285,VS27,2022-02-25,21,2022-03-15,0
PO-2021-0286,VS09,2021-05-11,30,2021-07-02,25
PO-2021-0287,VS34,2023-09-10,21,2023-10-05,7
PO-2021-0288,VS23,2022-12-06,45,2023-01-18,1
PO-2021-0289,VS20,2022-07-29,21,2022-08-16,0
PO-2021-0290,VS14,2022-08-18,30,2022-09-17,3
PO-2021-0291,VS19,2022-07-18,30,2022-08-14,0
PO-2021-0292,VS10,2022-12-11,30,2023-01-07,0
PO-2021-0293,VS29,2022-12-14,30,2023-01-22,12
PO-2021-0294,VS18,2022-07-13,30,2022-08-19,10
PO-2021-0295,VS04,2022-05-15,21,2022-06-02,0
PO-2021-0296,VS22,2023-04-30,21,2023-05-18,0
PO-2021-0297,VS27,2021-11-23,21,2021-12-11,0
PO-2021-0298,VS19,2022-10-23,30,2022-12-07,18
PO-2021-0299,VS03,2022-04-24,21,2022-05-15,3
PO-2021-0300,VS32,2023-03-28,45,2023-06-03,25
PO-2021-0301,VS01,2021-03-21,15,2021-04-27,25
PO-2021-0302,VS30,2022-08-09,45,2022-10-12,22
PO-2021-0303,VS30,2023-11-02,45,2023-12-14,0
PO-2021-0304,VS17,2023-08-01,45,2023-09-12,0
PO-2021-0305,VS12,2022-02-03,15,2022-02-15,0
PO-2021-0306,VS07,2023-04-04,15,2023-04-27,11
PO-2021-0307,VS17,2021-01-17,45,2021-03-03,3
PO-2021-0308,VS01,2022-09-14,15,2022-10-16,20
PO-2021-0309,VS30,2021-09-03,45,2021-10-27,12
PO-2021-0310,VS08,2022-10-02,21,2022-10-27,7
PO-2021-0311,VS10,2023-09-10,30,2023-10-07,0
PO-2021-0312,VS14,2023-08-26,30,2023-09-21,0
PO-2021-0313,VS34,2021-06-20,21,2021-07-10,2
PO-2021-0314,VS04,2021-08-21,21,2021-09-23,15
PO-2021-0315,VS11,2021-11-06,30,2021-12-26,23
PO-2021-0316,VS32,2022-02-28,45,2022-04-11,0
PO-2021-0317,VS09,2023-07-21,30,2023-08-17,0
PO-2021-0318,VS20,2023-08-08,21,2023-09-13,18
PO-2021-0319,VS05,2022-03-26,15,2022-04-27,20
PO-2021-0320,VS05,2021-05-07,15,2021-05-21,2
PO-2021-0321,VS27,2021-10-08,21,2021-10-26,0
PO-2021-0322,VS06,2023-02-12,30,2023-03-08,0
PO-2021-0323,VS26,2022-01-04,21,2022-01-24,2
PO-2021-0324,VS20,2021-02-19,21,2021-03-04,0
PO-2021-0325,VS15,2023-02-19,45,2023-04-02,0
PO-2021-0326,VS03,2021-08-23,21,2021-10-04,24
PO-2021-0327,VS14,2022-05-11,30,2022-06-17,10
PO-2021-0328,VS16,2021-04-13,15,2021-05-10,15
PO-2021-0329,VS09,2021-04-29,30,2021-05-26,0
PO-2021-0330,VS21,2022-10-19,15,2022-10-31,0
PO-2021-0331,VS15,2023-12-07,45,2024-01-14,0
PO-2021-0332,VS28,2021-12-28,15,2022-01-17,8
PO-2021-0333,VS34,2023-02-23,21,2023-04-05,23
PO-2021-0334,VS12,2023-02-13,15,2023-03-13,16
PO-2021-0335,VS30,2021-10-26,45,2021-12-07,0
PO-2021-0336,VS09,2023-12-25,30,2024-02-15,25
PO-2021-0337,VS29,2021-06-14,30,2021-07-13,2
PO-2021-0338,VS18,2021-04-19,30,2021-05-29,13
PO-2021-0339,VS14,2022-01-24,30,2022-03-03,11
PO-2021-0340,VS14,2021-02-04,30,2021-03-15,12
PO-2021-0341,VS16,2023-09-11,15,2023-09-23,0
PO-2021-0342,VS25,2022-08-06,30,2022-09-02,0
PO-2021-0343,VS33,2023-01-10,45,2023-03-02,9
PO-2021-0344,VS21,2023-08-23,15,2023-09-04,0
PO-2021-0345,VS10,2022-04-02,30,2022-05-12,13
PO-2021-0346,VS19,2023-05-09,30,2023-06-01,0
PO-2021-0347,VS32,2022-05-22,45,2022-07-20,17
PO-2021-0348,VS32,2023-10-01,45,2023-11-29,17
PO-2021-0349,VS32,2021-10-17,45,2021-12-19,21
PO-2021-0350,VS34,2021-05-04,21,2021-05-23,1
PO-2021-0351,VS01,2021-04-13,15,2021-04-20,0
PO-2021-0352,VS01,2021-11-09,15,2021-12-09,18
PO-2021-0353,VS32,2023-09-20,45,2023-11-08,7
PO-2021-0354,VS34,2021-02-07,21,2021-02-20,0
PO-2021-0355,VS12,2023-06-04,15,2023-06-20,4
PO-2021-0356,VS34,2022-02-01,21,2022-02-19,0
PO-2021-0357,VS24,2021-06-14,45,2021-07-26,0
PO-2021-0358,VS20,2022-04-11,21,2022-05-05,6
PO-2021-0359,VS06,2021-03-09,30,2021-04-05,0
PO-2021-0360,VS11,2021-01-23,30,2021-02-24,5
PO-2021-0361,VS07,2022-11-13,15,2022-11-25,0
PO-2021-0362,VS18,2023-09-04,30,2023-10-22,21
PO-2021-0363,VS12,2021-03-12,15,2021-04-13,20
PO-2021-0364,VS05,2023-03-30,15,2023-04-25,14
PO-2021-0365,VS25,2022-11-14,30,2022-12-26,15
PO-2021-0366,VS23,2023-10-26,45,2023-12-03,0
PO-2021-0367,VS26,2022-12-02,21,2022-12-25,5
PO-2021-0368,VS15,2023-10-05,45,2023-11-23,7
PO-2021-0369,VS06,2023-02-21,30,2023-03-30,10
PO-2021-0370,VS10,2022-07-06,30,2022-08-20,18
PO-2021-0371,VS21,2023-03-12,15,2023-03-23,0
PO-2021-0372,VS24,2023-07-03,45,2023-08-14,0
PO-2021-0373,VS33,2023-07-12,45,2023-08-23,0
PO-2021-0374,VS21,2021-07-13,15,2021-07-25,0
PO-2021-0375,VS16,2021-06-26,15,2021-07-08,0
PO-2021-0376,VS20,2022-07-08,21,2022-07-26,0
PO-2021-0377,VS27,2022-07-23,21,2022-08-27,17
PO-2021-0378,VS32,2022-05-24,45,2022-07-05,0
PO-2021-0379,VS22,2023-03-25,21,2023-04-12,0
PO-2021-0380,VS09,2023-06-04,30,2023-07-01,0
PO-2021-0381,VS21,2023-09-12,15,2023-10-07,13
PO-2021-0382,VS16,2023-10-06,15,2023-11-09,22
PO-2021-0383,VS08,2023-01-21,21,2023-02-08,0
PO-2021-0384,VS30,2021-02-28,45,2021-04-18,7
PO-2021-0385,VS27,2021-05-25,21,2021-06-17,5
PO-2021-0386,VS28,2021-11-15,15,2021-12-16,19
PO-2021-0387,VS33,2023-04-04,45,2023-06-05,20
PO-2021-0388,VS07,2021-06-27,15,2021-07-09,0
PO-2021-0389,VS26,2021-04-04,21,2021-05-09,17
PO-2021-0390,VS17,2021-07-24,45,2021-09-04,0
PO-2021-0391,VS29,2022-04-01,30,2022-04-28,0
PO-2021-0392,VS10,2023-10-25,30,2023-12-03,12
PO-2021-0393,VS06,2023-05-05,30,2023-05-31,0
PO-2021-0394,VS22,2022-10-04,21,2022-10-23,1
PO-2021-0395,VS07,2023-09-06,15,2023-09-18,0
PO-2021-0396,VS03,2022-09-10,21,2022-10-20,22
PO-2021-0397,VS16,2021-12-06,15,2022-01-06,19
PO-2021-0398,VS30,2023-05-27,45,2023-07-08,0
PO-2021-0399,VS26,2023-06-08,21,2023-06-26,0
PO-2021-0400,VS25,2023-06-02,30,2023-07-14,15
PO-2021-0401,VS07,2021-05-12,15,2021-05-24,0
PO-2021-0402,VS17,2021-08-25,45,2021-10-05,0
PO-2021-0403,VS26,2023-03-10,21,2023-03-28,0
PO-2021-0404,VS20,2021-12-23,21,2022-01-09,0
PO-2021-0405,VS08,2022-09-21,21,2022-10-09,0
PO-2021-0406,VS09,2023-05-10,30,2023-06-06,0
PO-2021-0407,VS11,2021-12-24,30,2022-01-20,0
PO-2021-0408,VS23,2021-04-23,45,2021-06-23,19
PO-2021-0409,VS32,2023-11-05,45,2023-12-12,0
PO-2021-0410,VS11,2023-10-01,30,2023-10-28,0
PO-2021-0411,VS03,2022-08-25,21,2022-09-12,0
PO-2021-0412,VS32,2023-07-29,45,2023-10-04,25
PO-2021-0413,VS03,2023-01-25,21,2023-02-24,12
PO-2021-0414,VS20,2022-05-25,21,2022-06-12,0
PO-2021-0415,VS08,2023-06-22,21,2023-07-10,0
PO-2021-0416,VS28,2022-12-23,15,2023-01-04,0
PO-2021-0417,VS23,2021-05-05,45,2021-06-16,0
PO-2021-0418,VS19,2022-08-26,30,2022-10-02,10
PO-2021-0419,VS09,2021-07-18,30,2021-08-31,17
PO-2021-0420,VS09,2021-09-20,30,2021-10-22,5
PO-2021-0421,VS32,2023-03-19,45,2023-04-30,0
PO-2021-0422,VS29,2023-02-11,30,2023-03-10,0
PO-2021-0423,VS33,2023-04-09,45,2023-05-28,7
PO-2021-0424,VS21,2023-09-30,15,2023-10-12,0
PO-2021-0425,VS23,2023-07-31,45,2023-09-19,8
PO-2021-0426,VS32,2022-03-13,45,2022-04-24,0
PO-2021-0427,VS32,2021-09-28,45,2021-11-09,0
PO-2021-0428,VS30,2021-07-26,45,2021-09-17,11
PO-2021-0429,VS01,2023-07-27,15,2023-08-08,0
PO-2021-0430,VS11,2022-09-14,30,2022-10-31,20
PO-2021-0431,VS11,2023-02-04,30,2023-02-27,0
PO-2021-0432,VS28,2022-04-28,15,2022-05-22,12
PO-2021-0433,VS09,2021-06-12,30,2021-08-01,23
PO-2021-0434,VS08,2022-12-08,21,2023-01-17,22
PO-2021-0435,VS06,2023-02-27,30,2023-04-08,13
PO-2021-0436,VS25,2021-10-11,30,2021-11-08,1
PO-2021-0437,VS01,2023-12-26,15,2024-01-30,23
PO-2021-0438,VS27,2021-11-10,21,2021-11-28,0
PO-2021-0439,VS08,2021-10-17,21,2021-10-30,0
PO-2021-0440,VS16,2021-10-17,15,2021-10-25,0
PO-2021-0441,VS02,2022-08-10,21,2022-09-04,7
PO-2021-0442,VS19,2023-03-17,30,2023-04-13,0
PO-2021-0443,VS25,2023-10-14,30,2023-11-17,7
PO-2021-0444,VS01,2023-12-21,15,2024-01-02,0
PO-2021-0445,VS24,2023-05-15,45,2023-06-27,1
PO-2021-0446,VS02,2021-06-02,21,2021-07-08,18
PO-2021-0447,VS33,2023-03-30,45,2023-05-19,8
PO-2021-0448,VS26,2023-05-21,21,2023-06-26,18
