gr_id,po_id,receipt_date,quantity_received,quality_grade,rejection_qty,rejection_reason,invoice_amount_billed
GR-2021-0178,PO-2021-0178,2022-03-02,38.44,A,0.0,,3949245.9
GR-2021-0179,PO-2021-0179,2022-11-10,25.35,B,0.0,,1961078.93
GR-2021-0180,PO-2021-0180,2023-02-26,28.36,B,0.0,,2699040.45
GR-2021-0181,PO-2021-0181,2021-06-03,22.18,A,0.0,,1778002.72
GR-2021-0182,PO-2021-0182,2022-10-08,35.75,A,0.0,,2730218.58
GR-2021-0183,PO-2021-0183,2023-04-23,9.34,A,0.0,,1093389.48
GR-2021-0184,PO-2021-0184,2023-01-27,42.09,A,0.0,,2680481.6
GR-2021-0185,PO-2021-0185,2023-04-11,20.29,A,0.0,,1392037.33
GR-2021-0186,PO-2021-0186,2022-04-13,4.72,A,0.0,,438411.37
GR-2021-0187,PO-2021-0187,2023-11-24,18.13,B,0.0,,2126974.85
GR-2021-0188,PO-2021-0188,2021-11-13,8.11,B,0.0,,489126.29
GR-2021-0189,PO-2021-0189,2021-11-21,47.24,A,0.0,,4384698.18
GR-2021-0190,PO-2021-0190,2023-07-21,8.35,A,0.0,,421020.35
GR-2021-0191,PO-2021-0191,2022-09-24,18.1,B,0.0,,922798.48
GR-2021-0192,PO-2021-0192,2023-08-05,18.57,B,0.71,Dimensional deviation,1319491.63
GR-2021-0193,PO-2021-0193,2021-07-22,23.6,B,0.0,,2049200.19
GR-2021-0194,PO-2021-0194,2021-04-03,16.71,A,0.0,,1351259.01
GR-2021-0195,PO-2021-0195,2021-05-23,40.43,B,0.0,,4391906.03
GR-2021-0196,PO-2021-0196,2021-07-02,2.91,A,0.0,,286369.16
GR-2021-0197,PO-2021-0197,2023-12-22,18.79,A,0.0,,2143706.25
GR-2021-0198,PO-2021-0198,2023-04-24,39.46,A,0.0,,3711045.19
GR-2021-0199,PO-2021-0199,2022-11-24,34.01,A,0.0,,2270489.32
GR-2021-0200,PO-2021-0200,2021-11-13,29.3,B,0.0,,1643190.69
GR-2021-0201,PO-2021-0201,2022-10-05,30.03,B,0.0,,3478960.83
GR-2021-0202,PO-2021-0202,2023-02-25,33.65,A,0.0,,3626697.77
GR-2021-0203,PO-2021-0203,2023-12-25,25.68,B,0.0,,1201840.16
GR-2021-0204,PO-2021-0204,2022-01-13,47.11,A,0.0,,3864951.98
GR-2021-0205,PO-2021-0205,2021-10-23,15.37,B,0.0,,1612648.56
GR-2021-0206,PO-2021-0206,2023-12-31,42.09,C,1.97,Dimensional deviation,4174583.41
GR-2021-0207,PO-2021-0207,2023-02-25,9.78,A,0.0,,956059.32
GR-2021-0208,PO-2021-0208,2021-12-12,21.0,A,0.0,,2022716.16
GR-2021-0209,PO-2021-0209,2023-07-21,12.11,B,0.04,Dimensional deviation,816225.6
GR-2021-0210,PO-2021-0210,2023-09-01,34.22,A,0.0,,3005636.85
GR-2021-0211,PO-2021-0211,2023-08-15,24.51,C,1.17,Dimensional deviation,2037240.05
GR-2021-0212,PO-2021-0212,2022-02-24,3.55,A,0.0,,288517.71
GR-2021-0213,PO-2021-0213,2021-08-08,14.95,B,0.0,,1530439.39
GR-2021-0214,PO-2021-0214,2023-07-17,41.63,B,0.0,,2164371.85
GR-2021-0215,PO-2021-0215,2023-07-23,21.15,A,0.0,,1594077.29
GR-2021-0216,PO-2021-0216,2022-05-03,19.24,A,0.0,,912599.54
GR-2021-0217,PO-2021-0217,2022-11-29,2.88,B,0.0,,327757.56
GR-2021-0218,PO-2021-0218,2021-10-15,31.12,A,0.0,,3518059.51
GR-2021-0219,PO-2021-0219,2022-06-20,27.87,A,0.0,,2776243.39
GR-2021-0220,PO-2021-0220,2023-05-25,12.56,B,0.0,,684312.28
GR-2021-0221,PO-2021-0221,2023-05-23,6.37,A,0.0,,725857.11
GR-2021-0222,PO-2021-0222,2021-02-09,35.96,A,0.0,,2420471.93
GR-2021-0223,PO-2021-0223,2023-01-05,10.11,A,0.0,,968282.1
GR-2021-0224,PO-2021-0224,2023-01-22,27.39,B,0.0,,2876112.52
GR-2021-0225,PO-2021-0225,2021-02-21,3.1,A,0.0,,231670.39
GR-2021-0226,PO-2021-0226,2022-06-19,39.27,A,0.0,,2808897.93
GR-2021-0227,PO-2021-0227,2021-08-16,3.14,A,0.0,,272464.77
GR-2021-0228,PO-2021-0228,2022-01-01,31.66,A,0.0,,3383360.07
GR-2021-0229,PO-2021-0229,2023-08-03,10.37,C,0.01,Dimensional deviation,1180550.94
GR-2021-0230,PO-2021-0230,2022-10-19,20.38,A,0.0,,2177248.48
GR-2021-0231,PO-2021-0231,2022-06-12,14.66,C,0.04,Dimensional deviation,1712983.09
GR-2021-0232,PO-2021-0232,2022-11-22,40.02,B,0.0,,3124075.13
GR-2021-0233,PO-2021-0233,2023-06-30,48.36,A,0.0,,4004704.34
GR-2021-0234,PO-2021-0234,2023-01-29,40.24,A,0.0,,4007122.09
GR-2021-0235,PO-2021-0235,2023-06-11,14.66,B,0.45,Dimensional deviation,843412.63
GR-2021-0236,PO-2021-0236,2022-09-14,30.49,A,0.0,,2349549.42
GR-2021-0237,PO-2021-0237,2023-07-09,3.06,A,0.0,,339578.59
GR-2021-0238,PO-2021-0238,2023-06-21,4.67,A,0.0,,434366.9
GR-2021-0239,PO-2021-0239,2023-12-02,7.99,B,0.0,,724543.76
GR-2021-0240,PO-2021-0240,2023-06-27,4.12,C,0.15,Dimensional deviation,461278.82
GR-2021-0241,PO-2021-0241,2023-01-22,30.53,A,0.0,,2940243.77
GR-2021-0242,PO-2021-0242,2023-02-10,29.01,A,0.0,,2466740.35
GR-2021-0243,PO-2021-0243,2022-10-11,47.75,A,0.0,,2256574.04
GR-2021-0244,PO-2021-0244,2023-11-06,45.47,A,0.0,,2463355.52
GR-2021-0245,PO-2021-0245,2022-07-01,49.54,A,0.0,,3308958.21
GR-2021-0246,PO-2021-0246,2022-03-01,42.77,B,0.0,,3376267.93
GR-2021-0247,PO-2021-0247,2023-07-13,33.71,A,0.0,,3311828.01
GR-2021-0248,PO-2021-0248,2022-09-01,35.53,A,0.0,,4110029.96
GR-2021-0249,PO-2021-0249,2022-01-07,11.96,A,0.0,,1425430.43
GR-2021-0250,PO-2021-0250,2021-10-20,2.28,B,0.0,,198203.19
GR-2021-0251,PO-2021-0251,2023-09-01,4.22,B,0.0,,315917.64
GR-2021-0252,PO-2021-0252,2023-09-15,38.39,A,0.0,,4130174.91
GR-2021-0253,PO-2021-0253,2021-09-22,23.02,A,0.0,,2212988.32
GR-2021-0254,PO-2021-0254,2021-09-28,21.72,B,0.34,Dimensional deviation,2615949.43
GR-2021-0255,PO-2021-0255,2021-09-27,15.75,B,0.0,,908645.57
GR-2021-0256,PO-2021-0256,2022-04-17,44.63,A,0.0,,4863759.6
GR-2021-0257,PO-2021-0257,2022-02-14,31.5,A,0.0,,2880927.46
GR-2021-0258,PO-2021-0258,2023-11-08,9.32,B,0.0,,862339.48
GR-2021-0259,PO-2021-0259,2022-12-15,4.88,C,0.01,Dimensional deviation,601517.52
GR-2021-0260,PO-2021-0260,2022-07-10,31.21,B,0.0,,1479123.36
GR-2021-0261,PO-2021-0261,2022-08-26,12.88,A,0.0,,1372165.6
GR-2021-0262,PO-2021-0262,2022-09-13,34.66,A,0.0,,1975178.48
GR-2021-0263,PO-2021-0263,2023-10-03,17.64,B,0.0,,985546.9
GR-2021-0264,PO-2021-0264,2022-10-28,7.38,A,0.0,,539377.68
GR-2021-0265,PO-2021-0265,2021-08-12,23.75,A,0.0,,1552340.67
GR-2021-0266,PO-2021-0266,2021-10-28,15.11,A,0.0,,1123407.07
GR-2021-0267,PO-2021-0267,2023-05-21,40.61,A,0.0,,4700181.78
GR-2021-0268,PO-2021-0268,2022-10-13,25.27,B,0.0,,2125222.83
GR-2021-0269,PO-2021-0269,2022-10-07,5.39,B,0.0,,403008.0
GR-2021-0270,PO-2021-0270,2022-05-23,3.35,B,0.0,,223423.85
GR-2021-0271,PO-2021-0271,2023-09-01,1.37,B,0.0,,77258.68
GR-2021-0272,PO-2021-0272,2022-07-08,18.87,A,0.0,,1420575.73
GR-2021-0273,PO-2021-0273,2022-02-15,15.14,B,0.0,,1119999.06
GR-2021-0274,PO-2021-0274,2022-08-12,48.48,A,0.0,,3636196.81
GR-2021-0275,PO-2021-0275,2022-12-07,10.64,A,0.0,,894230.04
GR-2021-0276,PO-2021-0276,2021-04-06,7.52,C,0.27,Dimensional deviation,561112.06
GR-2021-0277,PO-2021-0277,2023-12-08,30.61,A,0.0,,2569288.58
GR-2021-0278,PO-2021-0278,2022-10-25,49.12,A,0.0,,4976240.98
GR-2021-0279,PO-2021-0279,2022-11-30,26.87,A,0.0,,2658050.67
GR-2021-0280,PO-2021-0280,2023-09-11,17.06,B,0.0,,916986.46
GR-2021-0281,PO-2021-0281,2022-10-09,13.97,B,0.0,,1319312.17
GR-2021-0282,PO-2021-0282,2022-04-24,9.36,A,0.0,,862775.69
GR-2021-0283,PO-2021-0283,2023-02-22,2.54,B,0.0,,296094.24
GR-2021-0284,PO-2021-0284,2022-02-12,16.36,B,0.0,,922569.66
GR-2021-0285,PO-2021-0285,2022-03-10,38.62,A,0.0,,4444102.56
GR-2021-0286,PO-2021-0286,2021-05-23,11.16,B,0.0,,774266.52
GR-2021-0287,PO-2021-0287,2023-09-19,16.27,A,0.0,,949274.69
GR-2021-0288,PO-2021-0288,2022-12-11,30.7,A,0.0,,1835477.93
GR-2021-0289,PO-2021-0289,2022-08-10,47.1,A,0.0,,5592894.48
GR-2021-0290,PO-2021-0290,2022-09-02,16.44,A,0.0,,1176278.77
GR-2021-0291,PO-2021-0291,2022-08-01,28.07,B,0.14,Dimensional deviation,2594814.7
GR-2021-0292,PO-2021-0292,2022-12-14,3.04,A,0.0,,356944.5
GR-2021-0293,PO-2021-0293,2022-12-24,37.5,A,0.0,,2296663.76
GR-2021-0294,PO-2021-0294,2022-07-19,6.3,A,0.0,,638599.31
GR-2021-0295,PO-2021-0295,2022-05-17,12.05,A,0.0,,753300.64
GR-2021-0296,PO-2021-0296,2023-04-30,5.93,B,0.0,,609648.18
GR-2021-0297,PO-2021-0297,2021-11-30,24.2,A,0.0,,1462404.89
GR-2021-0298,PO-2021-0298,2022-11-08,43.26,B,0.76,Dimensional deviation,2446358.49
GR-2021-0299,PO-2021-0299,2022-04-28,20.89,B,0.22,Dimensional deviation,2408620.71
GR-2021-0300,PO-2021-0300,2023-04-04,46.65,A,0.0,,5493625.37
GR-2021-0301,PO-2021-0301,2021-03-26,28.74,A,0.0,,1529360.87
GR-2021-0302,PO-2021-0302,2022-08-14,26.56,B,0.0,,2981126.21
GR-2021-0303,PO-2021-0303,2023-11-07,10.36,A,0.0,,558536.93
GR-2021-0304,PO-2021-0304,2023-08-08,1.67,A,0.0,,118778.96
GR-2021-0305,PO-2021-0305,2022-02-11,39.64,B,1.69,Dimensional deviation,3611903.27
GR-2021-0306,PO-2021-0306,2023-04-09,48.94,A,0.0,,3967724.85
GR-2021-0307,PO-2021-0307,2021-01-24,12.53,A,0.0,,1273208.15
GR-2021-0308,PO-2021-0308,2022-09-16,32.81,B,0.0,,3202510.85
GR-2021-0309,PO-2021-0309,2021-09-14,8.83,A,0.0,,851702.24
GR-2021-0310,PO-2021-0310,2022-10-04,18.92,B,0.0,,1170325.75
GR-2021-0311,PO-2021-0311,2023-09-16,37.51,B,0.0,,3403801.01
GR-2021-0312,PO-2021-0312,2023-09-08,34.19,A,0.0,,3079819.99
GR-2021-0313,PO-2021-0313,2021-07-02,26.78,A,0.0,,1938958.43
GR-2021-0314,PO-2021-0314,2021-09-01,44.85,A,0.0,,2721718.02
GR-2021-0315,PO-2021-0315,2021-11-16,42.61,A,0.0,,3349777.77
GR-2021-0316,PO-2021-0316,2022-03-01,44.96,A,0.0,,3532424.56
GR-2021-0317,PO-2021-0317,2023-07-30,21.26,B,0.0,,1864585.74
GR-2021-0318,PO-2021-0318,2023-08-19,20.2,B,0.0,,2167173.4
GR-2021-0319,PO-2021-0319,2022-04-03,21.61,A,0.0,,2122228.21
GR-2021-0320,PO-2021-0320,2021-05-20,2.55,B,0.0,,193702.45
GR-2021-0321,PO-2021-0321,2021-10-15,49.64,A,0.0,,3658508.41
GR-2021-0322,PO-2021-0322,2023-02-15,7.45,B,0.0,,823601.6
GR-2021-0323,PO-2021-0323,2022-01-07,7.19,A,0.0,,857247.35
GR-2021-0324,PO-2021-0324,2021-03-02,33.92,A,0.0,,2918335.6
GR-2021-0325,PO-2021-0325,2023-02-25,23.5,A,0.0,,1334865.74
GR-2021-0326,PO-2021-0326,2021-08-29,30.14,B,0.57,Dimensional deviation,3730200.81
