month,material_category,market_price_per_mt,source
2023-03,MS Sheets,59773.0,MetalMandi/Steel360 Index
2023-03,HR Coils,55257.0,MetalMandi/Steel360 Index
2023-04,MS Pipes,70380.0,MetalMandi/Steel360 Index
2023-04,GI Pipes,76261.0,MetalMandi/Steel360 Index
2023-04,SS Pipes,194010.0,MetalMandi/Steel360 Index
2023-04,ERW Pipes,65157.0,MetalMandi/Steel360 Index
2023-04,MS Sheets,63051.0,MetalMandi/Steel360 Index
2023-04,HR Coils,55463.0,MetalMandi/Steel360 Index
2023-05,MS Pipes,69843.0,MetalMandi/Steel360 Index
2023-05,GI Pipes,73928.0,MetalMandi/Steel360 Index
2023-05,SS Pipes,196665.0,MetalMandi/Steel360 Index
2023-05,ERW Pipes,63729.0,MetalMandi/Steel360 Index
2023-05,MS Sheets,62722.0,MetalMandi/Steel360 Index
2023-05,HR Coils,58376.0,MetalMandi/Steel360 Index
2023-06,MS Pipes,73241.0,MetalMandi/Steel360 Index
2023-06,GI Pipes,76372.0,MetalMandi/Steel360 Index
2023-06,SS Pipes,190299.0,MetalMandi/Steel360 Index
2023-06,ERW Pipes,64724.0,MetalMandi/Steel360 Index
2023-06,MS Sheets,59637.0,MetalMandi/Steel360 Index
2023-06,HR Coils,58709.0,MetalMandi/Steel360 Index
2023-07,MS Pipes,72026.0,MetalMandi/Steel360 Index
2023-07,GI Pipes,74876.0,MetalMandi/Steel360 Index
2023-07,SS Pipes,202035.0,MetalMandi/Steel360 Index
2023-07,ERW Pipes,67287.0,MetalMandi/Steel360 Index
2023-07,MS Sheets,62469.0,MetalMandi/Steel360 Index
2023-07,HR Coils,57794.0,MetalMandi/Steel360 Index
2023-08,MS Pipes,73593.0,MetalMandi/Steel360 Index
2023-08,GI Pipes,77323.0,MetalMandi/Steel360 Index
2023-08,SS Pipes,198341.0,MetalMandi/Steel360 Index
2023-08,ERW Pipes,64191.0,MetalMandi/Steel360 Index
2023-08,MS Sheets,62659.0,MetalMandi/Steel360 Index
2023-08,HR Coils,56390.0,MetalMandi/Steel360 Index
2023-09,MS Pipes,72289.0,MetalMandi/Steel360 Index
2023-09,GI Pipes,74732.0,MetalMandi/Steel360 Index
2023-09,SS Pipes,201454.0,MetalMandi/Steel360 Index
2023-09,ERW Pipes,64357.0,MetalMandi/Steel360 Index
2023-09,MS Sheets,62806.0,MetalMandi/Steel360 Index
2023-09,HR Coils,57810.0,MetalMandi/Steel360 Index
2023-10,MS Pipes,71186.0,MetalMandi/Steel360 Index
2023-10,GI Pipes,75356.0,MetalMandi/Steel360 Index
2023-10,SS Pipes,202003.0,MetalMandi/Steel360 Index
2023-10,ERW Pipes,66575.0,MetalMandi/Steel360 Index
2023-10,MS Sheets,61492.0,MetalMandi/Steel360 Index
2023-10,HR Coils,58183.0,MetalMandi/Steel360 Index
2023-11,MS Pipes,71308.0,MetalMandi/Steel360 Index
2023-11,GI Pipes,76422.0,MetalMandi/Steel360 Index
2023-11,SS Pipes,192832.0,MetalMandi/Steel360 Index
2023-11,ERW Pipes,67738.0,MetalMandi/Steel360 Index
2023-11,MS Sheets,62793.0,MetalMandi/Steel360 Index
2023-11,HR Coils,59429.0,MetalMandi/Steel360 Index
2023-12,MS Pipes,75048.0,MetalMandi/Steel360 Index
2023-12,GI Pipes,75144.0,MetalMandi/Steel360 Index
2023-12,SS Pipes,192401.0,MetalMandi/Steel360 Index
2023-12,ERW Pipes,67575.0,MetalMandi/Steel360 Index
2023-12,MS Sheets,63649.0,MetalMandi/Steel360 Index
2023-12,HR Coils,57729.0,MetalMandi/Steel360 Index
